"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"HCB004",1/13/2015,,1.5,19.68,8.85,15.17,4.8,8.0,8.8,31.4,(9999.0)
"HCB004",1/13/2015,,2.0,20.74,8.86,15.99,4.1,8.1,8.8,61.0,(9999.0)
"HCB004",1/13/2015,,2.5,22.82,9.26,17.56,3.2,7.7,8.3,72.2,(9999.0)
"HCB004",1/13/2015,,3.0,24.63,9.59,18.93,2.7,7.1,7.7,74.6,(9999.0)
"HCB004",1/13/2015,,3.5,25.49,9.73,19.58,2.5,6.7,7.3,79.7,(9999.0)
"HCB004",1/13/2015,,4.0,26.23,9.83,20.14,2.3,6.3,6.9,78.5,(9999.0)
"HCB004",1/13/2015,,4.5,27.05,9.97,20.76,2.2,6.0,6.6,77.5,(9999.0)
"HCB004",1/13/2015,,5.0,27.25,10.00,20.91,2.1,5.7,6.3,76.9,(9999.0)
"HCB004",1/13/2015,,5.5,27.41,10.03,21.03,1.8,5.5,6.0,80.0,(9999.0)
"HCB004",1/13/2015,,6.0,27.56,10.06,21.14,1.8,5.3,5.7,83.5,(9999.0)
"HCB004",1/13/2015,,6.5,27.71,10.08,21.25,1.8,5.0,5.5,91.0,(9999.0)
"HCB004",1/13/2015,,7.0,27.80,10.10,21.32,1.7,4.8,5.2,94.2,(9999.0)
"HCB004",1/13/2015,,7.5,27.96,10.13,21.44,1.7,4.6,5.0,95.3,(9999.0)
"HCB004",1/13/2015,,8.0,28.31,10.19,21.70,1.6,4.3,4.6,95.8,(9999.0)
"HCB004",1/13/2015,,8.5,28.43,10.21,21.79,1.5,4.0,4.3,95.9,(9999.0)
"HCB004",1/13/2015,,9.0,28.55,10.23,21.88,1.3,3.8,4.1,95.9,(9999.0)
"HCB004",1/13/2015,,9.5,28.65,10.24,21.96,1.2,3.6,3.9,95.4,(9999.0)
"HCB004",1/13/2015,,10.0,28.70,10.25,22.00,1.0,3.4,3.8,95.3,(9999.0)
"HCB004",1/13/2015,,10.5,28.75,10.25,22.04,1.0,3.4,3.7,95.3,(9999.0)
"HCB004",1/13/2015,,11.0,28.77,10.26,22.05,0.9,3.3,3.6,95.4,(9999.0)
"HCB004",1/13/2015,,11.5,28.81,10.26,22.08,0.8,3.2,3.5,95.2,(9999.0)
"HCB004",1/13/2015,,12.0,28.89,10.27,22.14,0.8,3.1,3.4,95.2,(9999.0)
"HCB004",1/13/2015,,12.5,28.98,10.28,22.21,0.7,3.1,3.3,95.0,(9999.0)
"HCB004",1/13/2015,,13.0,29.02,10.30,22.24,0.7,3.1,3.3,94.9,(9999.0)
"HCB004",1/13/2015,,13.5,29.09,10.30,22.29,0.6,3.0,3.3,95.1,(9999.0)
"HCB004",1/13/2015,,14.0,29.15,10.31,22.34,0.6,3.0,3.2,94.8,(9999.0)
"HCB004",1/13/2015,,14.5,29.22,10.33,22.39,0.6,2.9,3.2,94.5,(9999.0)
"HCB004",1/13/2015,,15.0,29.25,10.33,22.41,0.5,2.9,3.2,94.1,(9999.0)
"HCB004",1/13/2015,,15.5,29.26,10.34,22.42,0.5,2.9,3.2,94.1,(9999.0)
"HCB004",1/13/2015,,16.0,29.29,10.35,22.44,0.5,3.0,3.2,94.1,(9999.0)
"HCB004",1/13/2015,,16.5,29.32,10.36,22.46,0.4,3.0,3.3,94.0,(9999.0)
"HCB004",1/13/2015,,17.0,29.35,10.37,22.48,0.4,3.1,3.4,94.0,(9999.0)
"HCB004",1/13/2015,,17.5,29.35,10.37,22.48,0.4,3.1,3.4,94.0,(9999.0)
"HCB004",1/13/2015,,18.0,29.37,10.37,22.50,0.4,3.1,3.4,94.1,(9999.0)
"HCB004",1/13/2015,,18.5,29.40,10.37,22.53,0.4,3.0,3.3,93.5,(9999.0)
"HCB004",1/13/2015,,19.0,29.40,10.37,22.53,0.4,3.0,3.2,92.3,(9999.0)
"HCB004",1/13/2015,,19.5,29.41,10.37,22.53,0.4,2.9,3.2,92.2,(9999.0)
"HCB004",1/13/2015,,20.0,29.41,10.37,22.53,0.4,2.9,3.2,92.0,(9999.0)
"HCB004",1/13/2015,,20.5,29.42,10.37,22.54,0.4,2.9,3.2,92.0,(9999.0)
"HCB004",1/13/2015,,21.0,29.42,10.37,22.54,0.4,2.9,3.1,92.0,(9999.0)
"HCB004",1/13/2015,,21.5,29.44,10.37,22.55,0.4,2.9,3.1,91.9,(9999.0)
"HCB004",1/13/2015,,22.0,29.44,10.37,22.56,0.4,2.8,3.1,91.7,(9999.0)
"HCB004",1/13/2015,,22.5,29.44,10.37,22.56,0.4,2.8,3.1,91.4,(9999.0)
"HCB004",1/13/2015,,23.0,29.44,10.37,22.56,0.4,2.8,3.1,91.3,(9999.0)
"HCB004",1/13/2015,,23.5,29.45,10.37,22.56,0.4,2.8,3.0,91.1,(9999.0)
"HCB004",1/13/2015,,24.0,29.45,10.37,22.56,0.4,2.8,3.0,91.0,(9999.0)
"HCB004",1/13/2015,,24.5,29.45,10.37,22.56,0.4,2.7,3.0,91.0,(9999.0)
"HCB004",1/13/2015,,25.0,29.46,10.37,22.57,0.4,2.7,3.0,90.7,(9999.0)
"HCB004",1/13/2015,,25.5,29.47,10.37,22.58,0.4,2.7,2.9,90.3,(9999.0)
"HCB004",1/13/2015,,26.0,29.47,10.37,22.58,0.4,2.7,2.9,89.9,(9999.0)
"HCB004",1/13/2015,,26.5,29.47,10.37,22.58,0.4,2.6,2.9,89.6,(9999.0)
"HCB004",1/13/2015,,27.0,29.48,10.37,22.58,0.4,2.6,2.9,89.5,(9999.0)
"HCB004",1/13/2015,,27.5,29.48,10.37,22.59,0.4,2.6,2.8,89.3,(9999.0)
"HCB004",1/13/2015,,28.0,29.48,10.37,22.59,0.4,2.6,2.8,89.0,(9999.0)
"HCB004",1/13/2015,,28.5,29.48,10.37,22.59,0.4,2.6,2.8,88.9,(9999.0)
"HCB004",1/13/2015,,29.0,29.49,10.37,22.59,0.4,2.6,2.8,88.6,(9999.0)
"HCB004",1/13/2015,,29.5,29.49,10.37,22.59,0.4,2.6,2.8,88.3,(9999.0)
"HCB004",1/13/2015,,30.0,29.49,10.37,22.59,0.4,2.6,2.8,88.1,(9999.0)
